Date,Price,Open,High,Low,Vol.,Change %
29-Jul-15,"20,302.91","20,425.69","20,425.69","20,205.21",132.84K,-0.13%
30-Jul-15,"20,522.83","20,450.61","20,583.57","20,443.89",181.43K,1.08%
31-Jul-15,"20,585.24","20,506.55","20,585.24","20,466.80",175.42K,0.30%
03-Aug-15,"20,548.11","20,540.21","20,562.20","20,396.50",173.60K,-0.18%
04-Aug-15,"20,520.36","20,462.18","20,552.04","20,448.49",166.67K,-0.14%
05-Aug-15,"20,614.06","20,490.15","20,715.48","20,469.87",173.50K,0.46%
06-Aug-15,"20,664.44","20,768.77","20,817.48","20,664.44",167.02K,0.24%
07-Aug-15,"20,724.56","20,601.57","20,754.00","20,567.51",147.05K,0.29%
10-Aug-15,"20,808.69","20,618.31","20,820.86","20,617.05",138.72K,0.41%
11-Aug-15,"20,720.75","20,920.60","20,946.93","20,582.01",159.18K,-0.42%
12-Aug-15,"20,392.77","20,632.68","20,703.20","20,303.02",170.33K,-1.58%
13-Aug-15,"20,595.55","20,392.54","20,633.91","20,306.98",167.43K,0.99%
14-Aug-15,"20,519.45","20,518.36","20,605.46","20,484.67",139.45K,-0.37%
17-Aug-15,"20,620.26","20,600.16","20,668.87","20,541.00",106.59K,0.49%
18-Aug-15,"20,554.47","20,640.59","20,663.18","20,545.25",113.09K,-0.32%
19-Aug-15,"20,222.63","20,467.49","20,521.97","20,218.03",145.55K,-1.61%
20-Aug-15,"20,033.52","20,194.26","20,246.47","20,033.29",147.89K,-0.94%
21-Aug-15,"19,435.83","19,711.34","19,737.54","19,435.83",189.89K,-2.98%
24-Aug-15,"18,540.68","19,075.05","19,154.65","18,498.80",274.43K,-4.61%
25-Aug-15,"17,806.70","18,171.66","18,835.35","17,747.50",335.57K,-3.96%
26-Aug-15,"18,376.83","17,894.29","18,442.84","17,714.30",246.77K,3.20%
27-Aug-15,"18,574.44","18,680.47","18,810.05","18,486.46",192.06K,1.08%
28-Aug-15,"19,136.32","18,908.73","19,192.82","18,901.09",205.15K,3.03%
31-Aug-15,"18,890.48","19,006.98","19,019.61","18,749.77",167.63K,-1.28%
01-Sep-15,"18,165.69","18,763.72","18,777.47","18,165.69",176.79K,-3.84%
02-Sep-15,"18,095.40","17,861.81","18,467.44","17,857.30",197.89K,-0.39%
