Date,Price,Open,High,Low,Vol.,Change %
09-Feb-15,"6,837.15","6,853.44","6,853.44","6,777.99",639.89M,-0.24%
10-Feb-15,"6,829.12","6,837.15","6,843.90","6,788.89",795.91M,-0.12%
11-Feb-15,"6,818.17","6,829.12","6,838.33","6,786.12",641.79M,-0.16%
12-Feb-15,"6,828.11","6,818.17","6,854.62","6,817.23",834.91M,0.15%
13-Feb-15,"6,873.52","6,828.11","6,887.57","6,828.11",757.58M,0.67%
16-Feb-15,"6,857.05","6,873.52","6,878.66","6,851.77",428.64M,-0.24%
17-Feb-15,"6,898.13","6,857.05","6,898.13","6,819.78",631.89M,0.60%
18-Feb-15,"6,898.08","6,898.13","6,921.32","6,876.30",698.36M,-0.00%
19-Feb-15,"6,888.90","6,898.08","6,907.30","6,858.67",661.61M,-0.13%
20-Feb-15,"6,915.20","6,888.90","6,920.51","6,884.77",787.66M,0.38%
23-Feb-15,"6,912.16","6,915.20","6,943.61","6,885.89",700.28M,-0.04%
24-Feb-15,"6,949.63","6,912.16","6,958.89","6,899.59",857.36M,0.54%
25-Feb-15,"6,935.38","6,949.63","6,955.41","6,904.88",718.03M,-0.21%
26-Feb-15,"6,949.73","6,935.38","6,949.98","6,920.54",806.28M,0.21%
27-Feb-15,"6,946.66","6,949.73","6,967.24","6,929.84",908.71M,-0.04%
02-Mar-15,"6,940.64","6,946.66","6,974.26","6,924.33",802.78M,-0.09%
03-Mar-15,"6,889.13","6,940.64","6,963.55","6,889.13",808.29M,-0.74%
04-Mar-15,"6,919.24","6,889.13","6,919.24","6,862.87",764.09M,0.44%
05-Mar-15,"6,961.14","6,919.24","6,968.64","6,914.06",823.10M,0.61%
06-Mar-15,"6,911.80","6,961.14","6,961.23","6,911.80",771.79M,-0.71%
09-Mar-15,"6,876.47","6,911.80","6,911.80","6,859.81",691.32M,-0.51%
10-Mar-15,"6,702.84","6,876.47","6,876.86","6,702.84",914.71M,-2.52%
11-Mar-15,"6,721.51","6,702.84","6,738.95","6,693.80",769.93M,0.28%
12-Mar-15,"6,761.07","6,721.51","6,799.84","6,721.51",872.09M,0.59%
13-Mar-15,"6,740.58","6,761.07","6,777.77","6,713.50",732.04M,-0.30%
